product_id,product_name,category,subcategory,price,rating,total_sales,return_rate,complaint_count,negative_percentage,average_rating,demand_score,problem_score,negative_review_score,demand_problem_score,demand_problem_category
P0152,Wireless Earbuds 152,Audio,Wireless Earbuds,6057,4.5,67043,0.118,92,20.65,3.46,67.6,69.7,20.65,58.95,Moderate
P0435,Bluetooth Speaker 435,Audio,Bluetooth Speaker,42255,4.7,56101,0.127,105,28.16,3.23,56.57,79.55,28.16,58.93,Moderate
P0025,Smart Watch 25,Watches,Smart Watch,25836,3.9,60138,0.05,104,20.0,3.52,60.64,78.79,20.0,58.86,Moderate
P0233,Air Purifier 233,Home Appliances,Air Purifier,20653,4.5,62565,0.044,96,24.74,3.45,63.09,72.73,24.74,58.79,Moderate
P0092,Fitness Band 92,Wearables,Fitness Band,5575,4.5,54887,0.058,110,23.21,3.5,55.35,83.33,23.21,58.71,Moderate
P0359,Smart Light 359,Home Appliances,Smart Light,28435,4.4,62736,0.09,98,21.05,3.48,63.26,74.24,21.05,58.66,Moderate
P0076,Smart Fan 76,Home Appliances,Smart Fan,23328,3.3,63116,0.026,101,15.69,3.66,63.64,76.52,15.69,58.56,Moderate
P0254,Tablet 254,Mobile,Tablet,22389,3.7,59554,0.079,104,18.63,3.6,60.05,78.79,18.63,58.33,Moderate
P0122,Smart Fan 122,Home Appliances,Smart Fan,28936,4.0,58638,0.02,100,26.04,3.31,59.13,75.76,26.04,58.33,Moderate
P0462,Smart Ring 462,Wearables,Smart Ring,11991,3.8,59937,0.094,101,21.51,3.56,60.44,76.52,21.51,58.28,Moderate
P0218,Tablet 218,Mobile,Tablet,41280,4.8,63176,0.031,101,13.83,3.59,63.71,76.52,13.83,58.21,Moderate
P0017,Bluetooth Speaker 17,Audio,Bluetooth Speaker,48836,4.4,52796,0.149,109,26.67,3.34,53.24,82.58,26.67,58.19,Moderate
P0302,Bluetooth Speaker 302,Audio,Bluetooth Speaker,10920,4.2,58484,0.13,101,24.07,3.29,58.97,76.52,24.07,58.13,Moderate
P0411,Smart Fan 411,Home Appliances,Smart Fan,24812,4.6,60066,0.056,99,23.01,3.41,60.57,75.0,23.01,58.11,Moderate
P0221,Tablet 221,Mobile,Tablet,8617,4.4,64571,0.023,92,21.93,3.57,65.11,69.7,21.93,58.08,Moderate
P0276,Fitness Watch 276,Watches,Fitness Watch,41246,4.0,56802,0.064,106,20.0,3.43,57.28,80.3,20.0,57.88,Moderate
P0478,Smart Fan 478,Home Appliances,Smart Fan,38677,3.5,66853,0.025,83,27.0,3.31,67.41,62.88,27.0,57.74,Moderate
P0420,Smart Ring 420,Wearables,Smart Ring,47553,3.8,63463,0.092,95,18.52,3.45,63.99,71.97,18.52,57.69,Moderate
P0465,Fitness Band 465,Wearables,Fitness Band,45470,4.1,49046,0.132,113,26.79,3.28,49.46,85.61,26.79,57.58,Moderate
P0346,Smart Ring 346,Wearables,Smart Ring,41067,4.2,65535,0.03,94,14.46,3.72,66.08,71.21,14.46,57.55,Moderate
P0133,Wireless Earbuds 133,Audio,Wireless Earbuds,41490,3.3,58579,0.103,105,15.38,3.62,59.07,79.55,15.38,57.5,Moderate
P0493,Air Purifier 493,Home Appliances,Air Purifier,42330,4.4,64282,0.052,90,22.11,3.43,64.82,68.18,22.11,57.45,Moderate
P0102,Smart Light 102,Home Appliances,Smart Light,10379,4.3,60736,0.046,99,17.82,3.5,61.24,75.0,17.82,57.37,Moderate
P0200,Bluetooth Speaker 200,Audio,Bluetooth Speaker,42223,4.5,50332,0.031,116,18.68,3.53,50.75,87.88,18.68,57.33,Moderate
P0464,Smart Light 464,Home Appliances,Smart Light,40309,4.5,66472,0.115,86,21.25,3.51,67.03,65.15,21.25,57.22,Moderate
P0016,Air Purifier 16,Home Appliances,Air Purifier,35911,3.4,62796,0.143,91,22.45,3.59,63.32,68.94,22.45,57.11,Moderate
P0080,Wireless Earbuds 80,Audio,Wireless Earbuds,37175,3.2,59548,0.107,99,18.56,3.59,60.05,75.0,18.56,56.98,Moderate
P0323,Smart Watch 323,Watches,Smart Watch,35062,4.7,60591,0.146,97,18.63,3.4,61.1,73.48,18.63,56.94,Moderate
P0174,Tablet 174,Mobile,Tablet,38174,3.5,59472,0.143,95,23.58,3.44,59.97,71.97,23.58,56.89,Moderate
P0147,Fitness Band 147,Wearables,Fitness Band,24848,3.7,54078,0.118,104,23.53,3.38,54.53,78.79,23.53,56.82,Moderate
P0245,Smart Ring 245,Wearables,Smart Ring,44206,3.2,72805,0.068,80,12.77,3.57,73.42,60.61,12.77,56.8,Moderate
P0286,Fitness Band 286,Wearables,Fitness Band,48119,3.6,56225,0.024,102,20.56,3.51,56.7,77.27,20.56,56.67,Moderate
P0006,Headphones 6,Audio,Headphones,6229,4.7,50323,0.049,106,28.24,3.29,50.74,80.3,28.24,56.59,Moderate
P0267,Smartphone 267,Mobile,Smartphone,47873,3.8,59360,0.149,93,24.73,3.33,59.86,70.45,24.73,56.54,Moderate
P0104,Smartphone 104,Mobile,Smartphone,26211,3.4,50486,0.09,107,26.09,3.43,50.91,81.06,26.09,56.5,Moderate
P0481,Bluetooth Speaker 481,Audio,Bluetooth Speaker,46952,3.7,46781,0.082,114,25.0,3.33,47.17,86.36,25.0,56.46,Moderate
P0214,Fitness Band 214,Wearables,Fitness Band,12501,4.3,53648,0.126,104,22.58,3.38,54.1,78.79,22.58,56.44,Moderate
P0172,Air Purifier 172,Home Appliances,Air Purifier,48632,3.8,57508,0.048,96,23.53,3.59,57.99,72.73,23.53,56.26,Moderate
P0166,Smart Ring 166,Wearables,Smart Ring,43126,4.5,61399,0.147,91,20.18,3.53,61.91,68.94,20.18,56.03,Moderate
P0287,Analog Watch 287,Watches,Analog Watch,18223,4.6,58049,0.131,98,18.45,3.49,58.54,74.24,18.45,56.02,Moderate
P0005,Air Purifier 5,Home Appliances,Air Purifier,37178,4.3,47900,0.091,111,24.17,3.32,48.3,84.09,24.17,56.0,Moderate
P0332,Smart Watch 332,Watches,Smart Watch,31211,4.8,57274,0.125,99,18.28,3.53,57.75,75.0,18.28,55.9,Moderate
P0040,Analog Watch 40,Watches,Analog Watch,3537,3.6,60832,0.059,89,23.33,3.44,61.34,67.42,23.33,55.87,Moderate
P0442,Smartphone 442,Mobile,Smartphone,49590,3.8,54587,0.137,99,23.96,3.35,55.04,75.0,23.96,55.81,Moderate
P0049,Smart Fan 49,Home Appliances,Smart Fan,42272,4.4,50828,0.079,104,25.53,3.52,51.25,78.79,25.53,55.75,Moderate
P0369,Air Purifier 369,Home Appliances,Air Purifier,27684,4.5,49509,0.125,112,17.82,3.55,49.92,84.85,17.82,55.73,Moderate
P0458,Headphones 458,Audio,Headphones,22641,4.0,63259,0.077,87,19.57,3.48,63.79,65.91,19.57,55.69,Moderate
P0456,Bluetooth Speaker 456,Audio,Bluetooth Speaker,27597,4.7,64313,0.121,89,14.29,3.63,64.85,67.42,14.29,55.64,Moderate
P0173,Smartphone 173,Mobile,Smartphone,3040,4.2,57932,0.015,94,21.43,3.56,58.42,71.21,21.43,55.5,Moderate
P0253,Bluetooth Speaker 253,Audio,Bluetooth Speaker,48458,4.5,45832,0.018,114,20.43,3.6,46.22,86.36,20.43,55.11,Moderate
P0188,Headphones 188,Audio,Headphones,40758,4.7,42353,0.113,119,21.05,3.44,42.71,90.15,21.05,54.98,Moderate
P0317,Smart Light 317,Home Appliances,Smart Light,21967,3.3,49364,0.027,100,30.0,3.22,49.78,75.76,30.0,54.92,Moderate
P0238,Air Purifier 238,Home Appliances,Air Purifier,37181,3.7,61612,0.085,80,28.0,3.29,62.13,60.61,28.0,54.77,Moderate
P0021,Wireless Earbuds 21,Audio,Wireless Earbuds,7352,3.8,54383,0.075,94,25.49,3.36,54.84,71.21,25.49,54.7,Moderate
P0109,Smart Fan 109,Home Appliances,Smart Fan,49926,4.6,61885,0.145,88,16.33,3.61,62.4,66.67,16.33,54.68,Moderate
P0036,Smart Watch 36,Watches,Smart Watch,46286,4.1,48893,0.092,103,25.47,3.25,49.3,78.03,25.47,54.59,Moderate
P0402,Wireless Earbuds 402,Audio,Wireless Earbuds,27265,4.0,51056,0.107,101,22.64,3.42,51.48,76.52,22.64,54.48,Moderate
P0494,Fitness Watch 494,Watches,Fitness Watch,11704,4.6,62960,0.127,85,15.79,3.71,63.49,64.39,15.79,54.27,Moderate
P0321,Smart Ring 321,Wearables,Smart Ring,42677,4.7,44411,0.01,108,27.36,3.41,44.78,81.82,27.36,54.26,Moderate
P0095,Analog Watch 95,Watches,Analog Watch,49804,4.8,50468,0.064,103,20.2,3.54,50.89,78.03,20.2,54.25,Moderate
P0452,Bluetooth Speaker 452,Audio,Bluetooth Speaker,45837,4.1,58987,0.032,92,15.31,3.67,59.48,69.7,15.31,54.22,Moderate
P0252,Smartphone 252,Mobile,Smartphone,37959,4.6,51507,0.105,98,23.71,3.27,51.94,74.24,23.71,54.1,Moderate
P0439,Smartphone 439,Mobile,Smartphone,19449,3.9,52288,0.125,99,20.43,3.45,52.73,75.0,20.43,54.06,Moderate
P0108,Wireless Earbuds 108,Audio,Wireless Earbuds,9661,4.7,48453,0.084,101,26.4,3.26,48.86,76.52,26.4,54.05,Moderate
P0197,Fitness Band 197,Wearables,Fitness Band,22493,3.7,52005,0.149,95,26.04,3.23,52.44,71.97,26.04,54.0,Moderate
P0085,Fitness Band 85,Wearables,Fitness Band,12481,4.3,36958,0.035,124,20.87,3.62,37.27,93.94,20.87,53.82,Low Demand + High Problem
P0382,Smart Watch 382,Watches,Smart Watch,24283,4.7,55612,0.12,87,27.37,3.25,56.08,65.91,27.37,53.78,Moderate
P0418,Smart Fan 418,Home Appliances,Smart Fan,20278,3.4,54599,0.094,84,32.61,3.13,55.06,63.64,32.61,53.57,Moderate
P0306,Fitness Band 306,Wearables,Fitness Band,35621,3.2,47829,0.141,105,20.0,3.43,48.23,79.55,20.0,53.54,Moderate
P0063,Fitness Band 63,Wearables,Fitness Band,21444,4.7,49692,0.066,107,12.64,3.67,50.11,81.06,12.64,53.45,Moderate
P0119,Wireless Earbuds 119,Audio,Wireless Earbuds,24477,3.6,42937,0.012,104,31.78,3.12,43.3,78.79,31.78,53.42,Moderate
P0468,Fitness Band 468,Wearables,Fitness Band,25577,4.4,41905,0.067,110,25.77,3.27,42.26,83.33,25.77,53.34,Moderate
P0424,Smart Ring 424,Wearables,Smart Ring,46412,4.8,51297,0.068,98,20.0,3.57,51.73,74.24,20.0,53.26,Moderate
P0391,Smart Light 391,Home Appliances,Smart Light,9768,4.7,47587,0.115,103,21.65,3.47,47.99,78.03,21.65,53.23,Moderate
P0116,Smart Fan 116,Home Appliances,Smart Fan,13439,4.8,60100,0.023,86,15.22,3.57,60.6,65.15,15.22,53.12,Moderate
P0223,Smartphone 223,Mobile,Smartphone,49877,3.3,56034,0.058,94,13.68,3.58,56.5,71.21,13.68,53.09,Moderate
P0053,Tablet 53,Mobile,Tablet,6077,3.6,44520,0.055,104,26.09,3.4,44.89,78.79,26.09,53.0,Moderate
P0041,Headphones 41,Audio,Headphones,22512,3.3,37085,0.059,116,27.0,3.43,37.4,87.88,27.0,52.99,Low Demand + High Problem
P0279,Tablet 279,Mobile,Tablet,41459,4.3,39486,0.139,114,24.07,3.44,39.82,86.36,24.07,52.96,Low Demand + High Problem
P0406,Fitness Band 406,Wearables,Fitness Band,29367,3.6,45818,0.103,104,21.88,3.43,46.2,78.79,21.88,52.74,Moderate
P0417,Smart Light 417,Home Appliances,Smart Light,40357,3.7,50918,0.069,98,17.98,3.53,51.34,74.24,17.98,52.69,Moderate
P0351,Tablet 351,Mobile,Tablet,7863,3.5,49712,0.033,94,25.93,3.43,50.13,71.21,25.93,52.67,Moderate
P0044,Fitness Band 44,Wearables,Fitness Band,24869,4.8,43779,0.097,107,21.98,3.46,44.15,81.06,21.98,52.63,Moderate
P0128,Smart Light 128,Home Appliances,Smart Light,4371,4.2,46590,0.025,106,16.25,3.52,46.98,80.3,16.25,52.5,Moderate
P0189,Smartphone 189,Mobile,Smartphone,21913,3.4,59429,0.045,77,24.51,3.29,59.93,58.33,24.51,52.29,Moderate
P0083,Air Purifier 83,Home Appliances,Air Purifier,31716,4.4,36183,0.08,117,23.39,3.4,36.49,88.64,23.39,52.12,Low Demand + High Problem
P0349,Smart Fan 349,Home Appliances,Smart Fan,49010,3.5,54766,0.079,88,19.44,3.45,55.22,66.67,19.44,52.07,Moderate
P0319,Smart Ring 319,Wearables,Smart Ring,1522,3.7,40334,0.114,106,28.3,3.33,40.67,80.3,28.3,52.07,Moderate
P0132,Fitness Band 132,Wearables,Fitness Band,25654,3.8,49003,0.054,97,20.49,3.52,49.41,73.48,20.49,52.05,Moderate
P0337,Analog Watch 337,Watches,Analog Watch,40132,4.7,37322,0.018,115,22.83,3.3,37.63,87.12,22.83,51.99,Low Demand + High Problem
P0437,Tablet 437,Mobile,Tablet,26430,3.9,41971,0.012,106,23.36,3.43,42.32,80.3,23.36,51.82,Moderate
P0425,Fitness Watch 425,Watches,Fitness Watch,17471,4.7,58573,0.126,75,25.88,3.38,59.06,56.82,25.88,51.64,Moderate
P0131,Smartphone 131,Mobile,Smartphone,12888,4.2,53031,0.02,86,23.53,3.52,53.48,65.15,23.53,51.57,Moderate
P0278,Tablet 278,Mobile,Tablet,35584,3.7,51439,0.096,91,20.45,3.47,51.87,68.94,20.45,51.56,Moderate
P0412,Air Purifier 412,Home Appliances,Air Purifier,7385,3.6,45242,0.06,103,18.56,3.41,45.62,78.03,18.56,51.55,Moderate
P0160,Smart Fan 160,Home Appliances,Smart Fan,41327,3.3,34044,0.04,117,25.27,3.4,34.33,88.64,25.27,51.52,Low Demand + High Problem
P0469,Smart Ring 469,Wearables,Smart Ring,18124,3.9,48425,0.096,96,20.37,3.63,48.83,72.73,20.37,51.5,Moderate
P0065,Smart Ring 65,Wearables,Smart Ring,44353,4.1,45225,0.012,100,22.0,3.37,45.6,75.76,22.0,51.44,Moderate
P0045,Smart Ring 45,Wearables,Smart Ring,44705,3.9,39252,0.088,112,19.61,3.56,39.58,84.85,19.61,51.43,Low Demand + High Problem
P0453,Smartphone 453,Mobile,Smartphone,15340,3.6,35149,0.062,116,23.33,3.32,35.44,87.88,23.33,51.37,Low Demand + High Problem
P0296,Headphones 296,Audio,Headphones,30918,4.8,27018,0.149,127,26.72,3.34,27.24,96.21,26.72,51.28,Low Demand + High Problem
P0476,Wireless Earbuds 476,Audio,Wireless Earbuds,19083,3.8,52292,0.067,88,19.57,3.36,52.73,66.67,19.57,50.98,Moderate
P0169,Analog Watch 169,Watches,Analog Watch,29636,4.5,51178,0.057,86,24.21,3.51,51.61,65.15,24.21,50.87,Moderate
P0289,Smart Ring 289,Wearables,Smart Ring,35883,4.1,42921,0.147,99,25.0,3.31,43.28,75.0,25.0,50.73,Moderate
P0219,Smart Ring 219,Wearables,Smart Ring,36226,4.6,32935,0.105,113,28.71,3.15,33.21,85.61,28.71,50.65,Low Demand + High Problem
P0499,Tablet 499,Mobile,Tablet,47558,4.3,36053,0.134,109,26.53,3.36,36.36,82.58,26.53,50.57,Low Demand + High Problem
P0042,Smart Watch 42,Watches,Smart Watch,18118,4.8,35295,0.015,112,23.85,3.4,35.59,84.85,23.85,50.48,Low Demand + High Problem
P0384,Bluetooth Speaker 384,Audio,Bluetooth Speaker,8852,3.8,39606,0.068,102,26.85,3.33,39.94,77.27,26.85,50.39,Low Demand + High Problem
P0195,Fitness Band 195,Wearables,Fitness Band,9432,3.9,44944,0.088,95,23.66,3.49,45.32,71.97,23.66,50.32,Moderate
P0134,Smartphone 134,Mobile,Smartphone,34577,3.9,37625,0.105,106,25.45,3.35,37.94,80.3,25.45,50.27,Low Demand + High Problem
P0303,Fitness Watch 303,Watches,Fitness Watch,48841,4.8,41722,0.121,98,26.14,3.38,42.07,74.24,26.14,50.15,Moderate
P0447,Smartphone 447,Mobile,Smartphone,15517,4.3,36764,0.128,105,27.96,3.25,37.07,79.55,27.96,50.12,Low Demand + High Problem
P0106,Bluetooth Speaker 106,Audio,Bluetooth Speaker,24089,3.5,33350,0.105,114,23.53,3.22,33.63,86.36,23.53,50.07,Low Demand + High Problem
P0120,Smart Light 120,Home Appliances,Smart Light,8448,4.0,47953,0.082,95,15.15,3.48,48.35,71.97,15.15,49.98,Moderate
P0035,Smartphone 35,Mobile,Smartphone,1232,3.4,34835,0.033,113,20.79,3.46,35.13,85.61,20.79,49.93,Low Demand + High Problem
P0446,Tablet 446,Mobile,Tablet,46446,4.2,48274,0.123,91,19.23,3.59,48.68,68.94,19.23,49.88,Moderate
P0060,Smartphone 60,Mobile,Smartphone,31822,4.1,46370,0.041,89,25.56,3.3,46.76,67.42,25.56,49.75,Moderate
P0467,Air Purifier 467,Home Appliances,Air Purifier,6493,4.7,54062,0.046,75,25.84,3.44,54.52,56.82,25.84,49.59,Moderate
P0098,Analog Watch 98,Watches,Analog Watch,45194,3.8,42005,0.098,94,26.92,3.38,42.36,71.21,26.92,49.37,Moderate
P0320,Smart Ring 320,Wearables,Smart Ring,13807,4.1,32629,0.031,112,23.42,3.4,32.9,84.85,23.42,49.19,Low Demand + High Problem
P0247,Bluetooth Speaker 247,Audio,Bluetooth Speaker,35501,3.8,52522,0.021,78,22.73,3.47,52.96,59.09,22.73,49.06,Moderate
P0114,Smart Light 114,Home Appliances,Smart Light,7489,4.2,37166,0.015,108,17.48,3.49,37.48,81.82,17.48,49.0,Low Demand + High Problem
P0357,Tablet 357,Mobile,Tablet,25209,3.3,58137,0.075,75,13.64,3.61,58.62,56.82,13.64,49.0,Moderate
P0348,Analog Watch 348,Watches,Analog Watch,14741,3.3,34140,0.12,115,14.58,3.68,34.43,87.12,14.58,48.9,Low Demand + High Problem
P0305,Fitness Band 305,Wearables,Fitness Band,26673,3.3,31870,0.079,115,19.47,3.47,32.14,87.12,19.47,48.85,Low Demand + High Problem
P0148,Analog Watch 148,Watches,Analog Watch,7193,3.9,33529,0.111,106,27.18,3.21,33.81,80.3,27.18,48.76,Low Demand + High Problem
P0087,Tablet 87,Mobile,Tablet,37051,3.3,33582,0.055,115,15.04,3.65,33.86,87.12,15.04,48.74,Low Demand + High Problem
P0215,Smart Light 215,Home Appliances,Smart Light,7251,3.4,42915,0.141,97,17.2,3.41,43.27,73.48,17.2,48.63,Moderate
P0327,Smart Fan 327,Home Appliances,Smart Fan,8858,4.6,40374,0.126,97,22.61,3.36,40.71,73.48,22.61,48.56,Moderate
P0091,Tablet 91,Mobile,Tablet,28229,4.9,32446,0.074,106,28.57,3.27,32.72,80.3,28.57,48.54,Low Demand + High Problem
P0168,Smart Ring 168,Wearables,Smart Ring,17601,4.3,38001,0.06,96,28.87,3.41,38.32,72.73,28.87,48.47,Low Demand + High Problem
P0367,Smart Fan 367,Home Appliances,Smart Fan,25408,4.6,40222,0.054,100,17.71,3.48,40.56,75.76,17.71,48.31,Moderate
P0284,Wireless Earbuds 284,Audio,Wireless Earbuds,38053,4.5,38784,0.015,99,22.22,3.36,39.11,75.0,22.22,48.29,Low Demand + High Problem
P0213,Wireless Earbuds 213,Audio,Wireless Earbuds,22671,4.0,34220,0.111,107,21.05,3.36,34.51,81.06,21.05,48.11,Low Demand + High Problem
P0495,Tablet 495,Mobile,Tablet,24613,4.8,34279,0.058,105,23.3,3.38,34.57,79.55,23.3,48.06,Low Demand + High Problem
P0207,Wireless Earbuds 207,Audio,Wireless Earbuds,36296,4.2,36101,0.029,99,26.47,3.34,36.4,75.0,26.47,47.93,Low Demand + High Problem
P0022,Analog Watch 22,Watches,Analog Watch,48724,4.7,33091,0.037,108,20.95,3.46,33.37,81.82,20.95,47.84,Low Demand + High Problem
P0310,Fitness Band 310,Wearables,Fitness Band,21327,4.4,31778,0.018,109,22.32,3.39,32.04,82.58,22.32,47.79,Low Demand + High Problem
P0030,Tablet 30,Mobile,Tablet,9577,3.7,41941,0.14,93,20.37,3.48,42.29,70.45,20.37,47.76,Moderate
P0145,Fitness Band 145,Wearables,Fitness Band,30473,4.2,25172,0.055,117,25.89,3.29,25.38,88.64,25.89,47.62,Low Demand + High Problem
P0176,Smart Light 176,Home Appliances,Smart Light,26361,3.4,34616,0.109,102,24.35,3.42,34.91,77.27,24.35,47.62,Low Demand + High Problem
P0194,Air Purifier 194,Home Appliances,Air Purifier,38373,3.8,38327,0.02,98,20.48,3.35,38.65,74.24,20.48,47.47,Low Demand + High Problem
P0038,Tablet 38,Mobile,Tablet,41675,4.8,31529,0.131,111,18.09,3.53,31.79,84.09,18.09,47.36,Low Demand + High Problem
P0029,Smart Light 29,Home Appliances,Smart Light,39251,3.7,34679,0.039,104,20.0,3.51,34.97,78.79,20.0,47.31,Low Demand + High Problem
P0180,Smart Light 180,Home Appliances,Smart Light,9504,3.3,41039,0.066,93,19.75,3.62,41.38,70.45,19.75,47.23,Moderate
P0162,Smart Light 162,Home Appliances,Smart Light,36130,4.1,32211,0.111,109,17.89,3.49,32.48,82.58,17.89,47.1,Low Demand + High Problem
P0079,Smartphone 79,Mobile,Smartphone,40952,3.4,27735,0.098,106,32.04,3.23,27.97,80.3,32.04,47.1,Low Demand + High Problem
P0204,Wireless Earbuds 204,Audio,Wireless Earbuds,19284,3.6,39508,0.118,87,30.49,3.29,39.84,65.91,30.49,47.09,Moderate
P0377,Smart Ring 377,Wearables,Smart Ring,20560,4.0,44577,0.148,79,29.47,3.36,44.95,59.85,29.47,47.07,Moderate
P0067,Smart Fan 67,Home Appliances,Smart Fan,48908,3.7,32677,0.126,104,23.01,3.32,32.95,78.79,23.01,47.01,Low Demand + High Problem
P0395,Analog Watch 395,Watches,Analog Watch,28582,4.3,35886,0.097,100,20.88,3.4,36.19,75.76,20.88,46.98,Low Demand + High Problem
P0072,Smart Light 72,Home Appliances,Smart Light,37070,4.4,36009,0.053,101,19.09,3.51,36.31,76.52,19.09,46.94,Low Demand + High Problem
P0275,Tablet 275,Mobile,Tablet,31281,3.9,24676,0.036,117,22.73,3.48,24.88,88.64,22.73,46.77,Low Demand + High Problem
P0408,Smartphone 408,Mobile,Smartphone,22685,3.3,29690,0.087,113,15.46,3.65,29.94,85.61,15.46,46.53,Low Demand + High Problem
P0164,Smart Fan 164,Home Appliances,Smart Fan,3853,4.9,33746,0.115,102,20.69,3.4,34.03,77.27,20.69,46.5,Low Demand + High Problem
P0379,Bluetooth Speaker 379,Audio,Bluetooth Speaker,2668,4.9,34503,0.137,97,24.44,3.34,34.79,73.48,24.44,46.26,Low Demand + High Problem
P0422,Tablet 422,Mobile,Tablet,10596,4.4,39184,0.039,96,14.91,3.63,39.51,72.73,14.91,46.22,Low Demand + High Problem
P0401,Headphones 401,Audio,Headphones,24430,4.8,35667,0.133,95,23.71,3.39,35.97,71.97,23.71,46.12,Low Demand + High Problem
P0309,Fitness Band 309,Wearables,Fitness Band,19184,3.3,27133,0.146,110,22.88,3.47,27.36,83.33,22.88,46.05,Low Demand + High Problem
P0175,Fitness Band 175,Wearables,Fitness Band,35698,3.7,37028,0.045,95,19.15,3.48,37.34,71.97,19.15,45.82,Low Demand + High Problem
P0226,Bluetooth Speaker 226,Audio,Bluetooth Speaker,26759,4.4,29688,0.127,105,22.22,3.37,29.94,79.55,22.22,45.76,Low Demand + High Problem
P0015,Smart Ring 15,Wearables,Smart Ring,33021,4.8,40806,0.044,92,13.54,3.47,41.15,69.7,13.54,45.62,Moderate
P0071,Smart Watch 71,Watches,Smart Watch,20283,4.4,40635,0.103,87,20.48,3.47,40.98,65.91,20.48,45.6,Moderate
P0179,Fitness Band 179,Wearables,Fitness Band,8953,4.5,31529,0.121,98,26.47,3.32,31.79,74.24,26.47,45.59,Low Demand + High Problem
P0459,Smart Watch 459,Watches,Smart Watch,3827,4.2,18158,0.098,121,26.26,3.33,18.31,91.67,26.26,45.57,Low Demand + High Problem
P0070,Smart Watch 70,Watches,Smart Watch,48190,4.1,31999,0.107,105,15.97,3.5,32.27,79.55,15.97,45.56,Low Demand + High Problem
P0097,Fitness Watch 97,Watches,Fitness Watch,10447,4.3,20732,0.02,114,28.93,3.33,20.91,86.36,28.93,45.42,Low Demand + High Problem
P0136,Tablet 136,Mobile,Tablet,8863,4.5,23528,0.028,108,29.52,3.27,23.73,81.82,29.52,45.22,Low Demand + High Problem
P0292,Smart Fan 292,Home Appliances,Smart Fan,5949,4.7,12702,0.066,132,21.92,3.4,12.81,100.0,21.92,45.15,Low Demand + High Problem
P0350,Analog Watch 350,Watches,Analog Watch,38883,4.4,21819,0.073,117,20.0,3.51,22.0,88.64,20.0,44.92,Low Demand + High Problem
P0335,Headphones 335,Audio,Headphones,14071,4.6,33156,0.098,97,20.21,3.36,33.43,73.48,20.21,44.81,Low Demand + High Problem
P0500,Wireless Earbuds 500,Audio,Wireless Earbuds,2513,3.6,33483,0.142,92,25.74,3.3,33.76,69.7,25.74,44.74,Moderate
P0496,Fitness Band 496,Wearables,Fitness Band,38804,4.3,23377,0.147,111,23.47,3.44,23.57,84.09,23.47,44.73,Low Demand + High Problem
P0333,Smart Light 333,Home Appliances,Smart Light,28961,3.6,25030,0.048,114,14.81,3.58,25.24,86.36,14.81,44.55,Low Demand + High Problem
P0429,Smart Ring 429,Wearables,Smart Ring,5776,3.7,29330,0.144,96,28.57,3.33,29.58,72.73,28.57,44.48,Low Demand + High Problem
P0118,Bluetooth Speaker 118,Audio,Bluetooth Speaker,1185,4.9,17538,0.086,119,24.14,3.33,17.68,90.15,24.14,44.34,Low Demand + High Problem
P0004,Headphones 4,Audio,Headphones,7698,3.4,45582,0.095,74,18.87,3.59,45.96,56.06,18.87,44.08,Moderate
P0143,Headphones 143,Audio,Headphones,5475,4.3,36502,0.093,85,24.21,3.4,36.81,64.39,24.21,43.94,Moderate
P0201,Fitness Band 201,Wearables,Fitness Band,13503,3.7,20348,0.068,112,24.0,3.4,20.52,84.85,24.0,43.73,Low Demand + High Problem
P0241,Wireless Earbuds 241,Audio,Wireless Earbuds,22618,4.2,32708,0.08,94,19.79,3.46,32.98,71.21,19.79,43.72,Low Demand + High Problem
P0368,Headphones 368,Audio,Headphones,49740,4.6,35813,0.112,87,21.43,3.6,36.11,65.91,21.43,43.61,Moderate
P0457,Air Purifier 457,Home Appliances,Air Purifier,16072,4.3,28223,0.031,102,18.63,3.42,28.46,77.27,18.63,43.58,Low Demand + High Problem
P0272,Tablet 272,Mobile,Tablet,6626,4.8,19069,0.059,111,27.43,3.29,19.23,84.09,27.43,43.57,Low Demand + High Problem
P0107,Analog Watch 107,Watches,Analog Watch,29889,3.8,17724,0.023,115,24.27,3.33,17.87,87.12,24.27,43.39,Low Demand + High Problem
P0073,Smartphone 73,Mobile,Smartphone,49685,4.5,24767,0.037,102,24.27,3.37,24.97,77.27,24.27,43.14,Low Demand + High Problem
P0343,Tablet 343,Mobile,Tablet,39405,3.7,18384,0.147,114,22.45,3.35,18.54,86.36,22.45,43.06,Low Demand + High Problem
P0135,Smart Watch 135,Watches,Smart Watch,26903,3.3,27294,0.052,101,18.97,3.58,27.52,76.52,18.97,42.96,Low Demand + High Problem
P0141,Wireless Earbuds 141,Audio,Wireless Earbuds,10597,3.5,20536,0.116,107,26.13,3.35,20.71,81.06,26.13,42.92,Low Demand + High Problem
P0484,Bluetooth Speaker 484,Audio,Bluetooth Speaker,16863,3.6,27077,0.127,97,24.53,3.48,27.3,73.48,24.53,42.91,Low Demand + High Problem
P0013,Smart Ring 13,Wearables,Smart Ring,43006,3.7,21230,0.074,106,25.64,3.5,21.41,80.3,25.64,42.87,Low Demand + High Problem
P0158,Smartphone 158,Mobile,Smartphone,28190,4.1,31403,0.064,93,18.69,3.46,31.67,70.45,18.69,42.65,Low Demand + High Problem
